B,C,trial,stability_min_eig
5,9,3,-0.49315299562363735
5,9,4,-0.755943431350318
5,10,0,-0.4752210042431261
5,10,1,-0.3831449995045071
5,10,2,-0.24927867239948195
5,10,3,-0.4916879810579717
5,10,4,-0.30870939200330966
5,11,0,-0.4619020133222925
5,11,1,-0.574574938127647
5,11,2,-0.47502658122974584
5,11,3,-0.5179027981627967
5,11,4,-0.48485036996949155
5,12,0,-0.6757503115833068
5,12,1,-0.4045738068125201
5,12,2,-0.6816251859202412
5,12,3,-0.4402522116766262
5,12,4,-0.5621967938565751
5,13,0,-0.2249134850907228
5,13,1,-0.3953727670967568
5,13,2,-0.28817131874269336
5,13,3,-0.3356422636437042
5,13,4,-0.16484393761560992
5,14,0,-0.6136214329811516
5,14,1,-0.21266140074737286
5,14,2,-0.4737544400817329
5,14,3,-0.422962360206416
5,14,4,-0.0634196509218006
5,15,0,-0.2727586130370286
5,15,1,-2.3034934389617424e-15
5,15,2,-0.5544932658201919
5,15,3,-0.6399529821077392
5,15,4,-0.18723392155717977
5,16,0,-0.5092758467701974
5,16,1,-0.5426528903949196
5,16,2,-0.3282059396843742
5,16,3,-0.11807991065188717
5,16,4,-0.30556381245045877
5,17,0,-3.4436860778409316e-15
5,17,1,-0.3884715358490355
5,17,2,-0.46474855941676785
5,17,3,-0.0862297483484014
5,17,4,-0.4206999389932821
5,18,0,-0.18790017885325572
5,18,1,-1.5880211478582118e-15
5,18,2,-1.4316466604062806e-15
5,18,3,-0.28149183324293375
5,18,4,-0.06841313231632155
5,19,0,-0.14674000147290053
5,19,1,-2.635769979256944e-15
5,19,2,-1.1052899458010538e-15
5,19,3,-0.3216196915545044
5,19,4,-1.4968998627576425e-15
5,20,0,-0.3535739757500103
5,20,1,-2.053854695751644e-15
5,20,2,-0.06390556314998425
5,20,3,-0.2151697102906918
5,20,4,-0.10520947463251633
5,21,0,-2.360246859049379e-15
5,21,1,-1.4250361365433039e-15
5,21,2,-0.012863780803182788
5,21,3,-2.1881875152210217e-15
